"Date","Close"
"2022-01-03","4230"
"2022-01-04","4250"
"2022-01-05","4210"
"2022-01-06","4230"
"2022-01-07","4220"
"2022-01-10","4250"
"2022-01-11","4180"
"2022-01-12","4330"
"2022-01-13","4270"
"2022-01-14","4220"
"2022-01-17","4150"
"2022-01-18","4110"
"2022-01-19","4100"
"2022-01-20","4100"
"2022-01-21","4150"
"2022-01-24","4080"
"2022-01-25","4060"
"2022-01-26","4130"
"2022-01-27","4060"
"2022-01-28","4050"
"2022-01-31","4030"
"2022-02-02","4050"
"2022-02-03","4010"
"2022-02-04","4020"
"2022-02-07","4000"
"2022-02-08","4000"
"2022-02-09","3960"
"2022-02-10","3980"
"2022-02-11","3900"
"2022-02-14","3850"
"2022-02-15","3870"
"2022-02-16","3870"
"2022-02-17","3830"
"2022-02-18","3850"
"2022-02-21","3850"
"2022-02-22","3810"
"2022-02-23","3820"
"2022-02-24","3690"
"2022-02-25","3680"
"2022-03-01","3680"
"2022-03-02","3660"
"2022-03-04","3520"
"2022-03-07","3430"
"2022-03-08","3360"
"2022-03-09","3400"
"2022-03-10","3430"
"2022-03-11","3370"
"2022-03-14","3380"
"2022-03-15","3280"
"2022-03-16","3450"
"2022-03-17","3420"
"2022-03-18","3360"
"2022-03-21","3460"
"2022-03-22","3490"
"2022-03-23","3410"
"2022-03-24","3380"
"2022-03-25","3400"
"2022-03-28","3460"
"2022-03-29","3480"
"2022-03-30","3720"
"2022-03-31","3660"
"2022-04-01","3620"
"2022-04-04","3570"
"2022-04-05","3680"
"2022-04-06","3600"
"2022-04-07","3570"
"2022-04-08","3540"
"2022-04-11","3460"
"2022-04-12","3520"
"2022-04-13","3440"
"2022-04-14","3400"
"2022-04-18","3390"
"2022-04-19","3350"
"2022-04-20","3470"
"2022-04-21","3400"
"2022-04-22","3430"
"2022-04-25","3690"
"2022-04-26","3890"
"2022-04-27","3810"
"2022-04-28","3890"
"2022-05-09","4010"
"2022-05-10","4380"
"2022-05-11","4880"
"2022-05-12","4690"
"2022-05-13","4800"
"2022-05-17","4800"
"2022-05-18","5025"
"2022-05-19","4880"
"2022-05-20","5050"
"2022-05-23","4880"
"2022-05-24","4810"
"2022-05-25","4770"
"2022-05-27","4760"
"2022-05-30","4650"
"2022-05-31","4730"
"2022-06-02","4790"
"2022-06-03","4720"
"2022-06-06","4770"
"2022-06-07","4730"
"2022-06-08","4890"
"2022-06-09","4820"
"2022-06-10","4750"
"2022-06-13","4690"
"2022-06-14","4740"
"2022-06-15","4800"
"2022-06-16","4800"
"2022-06-17","4650"
"2022-06-20","5025"
"2022-06-21","5050"
"2022-06-22","4890"
"2022-06-23","4960"
"2022-06-24","4990"
"2022-06-27","4980"
"2022-06-28","5050"
"2022-06-29","4940"
"2022-06-30","4770"
"2022-07-01","4830"
"2022-07-04","4700"
"2022-07-05","4760"
"2022-07-06","4780"
"2022-07-07","5000"
"2022-07-08","4890"
"2022-07-11","4800"
"2022-07-12","4880"
"2022-07-13","4900"
"2022-07-14","4900"
"2022-07-15","4830"
"2022-07-18","4980"
"2022-07-19","4970"
"2022-07-20","4970"
"2022-07-21","5000"
"2022-07-22","5000"
"2022-07-25","4930"
"2022-07-26","4930"
"2022-07-27","4720"
"2022-07-28","4510"
"2022-07-29","4510"
"2022-08-01","4550"
"2022-08-02","4600"
"2022-08-03","4590"
"2022-08-04","4600"
"2022-08-05","4720"
"2022-08-08","4790"
"2022-08-09","4720"
"2022-08-10","4780"
"2022-08-11","4750"
"2022-08-12","4770"
"2022-08-15","4760"
"2022-08-16","4770"
"2022-08-18","4790"
"2022-08-19","4730"
"2022-08-22","4750"
"2022-08-23","4810"
"2022-08-24","4850"
"2022-08-25","4840"
"2022-08-26","4610"
"2022-08-29","4580"
"2022-08-30","4580"
"2022-08-31","4590"
"2022-09-01","4540"
"2022-09-02","4550"
"2022-09-05","4530"
"2022-09-06","4510"
"2022-09-07","4590"
"2022-09-08","4520"
"2022-09-09","4500"
"2022-09-12","4550"
"2022-09-13","4670"
"2022-09-14","4630"
"2022-09-15","4600"
"2022-09-16","4630"
"2022-09-19","4600"
"2022-09-20","4730"
"2022-09-21","4810"
"2022-09-22","4810"
"2022-09-23","4810"
"2022-09-26","4790"
"2022-09-27","4800"
"2022-09-28","4810"
"2022-09-29","4850"
"2022-09-30","4830"
"2022-10-03","4850"
"2022-10-04","4870"
"2022-10-05","4830"
"2022-10-06","4900"
"2022-10-07","4840"
"2022-10-10","4800"
"2022-10-11","4730"
"2022-10-12","4790"
"2022-10-13","4840"
"2022-10-14","4810"
"2022-10-17","4830"
"2022-10-18","4900"
"2022-10-19","5350"
"2022-10-20","5400"
"2022-10-21","5300"
"2022-10-24","5325"
"2022-10-25","5275"
"2022-10-26","5400"
"2022-10-27","5350"
"2022-10-28","4980"
"2022-10-31","4640"
"2022-11-01","4530"
"2022-11-02","4500"
"2022-11-03","4510"
"2022-11-04","4540"
"2022-11-07","4620"
"2022-11-08","4630"
"2022-11-09","4540"
"2022-11-10","4560"
"2022-11-11","4540"
"2022-11-14","4590"
"2022-11-15","4610"
"2022-11-16","4610"
"2022-11-17","4590"
"2022-11-18","4640"
"2022-11-21","4550"
"2022-11-22","4560"
"2022-11-23","4550"
"2022-11-24","4560"
"2022-11-25","4600"
"2022-11-28","4710"
"2022-11-29","4700"
"2022-11-30","4800"
"2022-12-01","4710"
"2022-12-02","4710"
"2022-12-05","4740"
"2022-12-06","4740"
"2022-12-07","4700"
"2022-12-08","4660"
"2022-12-09","4620"
"2022-12-12","4690"
"2022-12-13","4720"
"2022-12-14","4720"
"2022-12-15","4700"
"2022-12-16","4870"
"2022-12-19","4730"
"2022-12-20","4770"
